Category,Sub-Category,Product
"Middleware, Integration & Developer Stack","Monitoring, APM & Logging",Datadog
"Middleware, Integration & Developer Stack","Monitoring, APM & Logging",New Relic
"Middleware, Integration & Developer Stack","Monitoring, APM & Logging",Dynatrace
"Middleware, Integration & Developer Stack","Monitoring, APM & Logging",Splunk Observability Cloud
"Middleware, Integration & Developer Stack","Monitoring, APM & Logging",Grafana Cloud
"Middleware, Integration & Developer Stack","Monitoring, APM & Logging",Logz.io
"Middleware, Integration & Developer Stack","Monitoring, APM & Logging",Sumo Logic
"Middleware, Integration & Developer Stack",Feature Flags & Release Management,LaunchDarkly
"Middleware, Integration & Developer Stack",Feature Flags & Release Management,ConfigCat
"Middleware, Integration & Developer Stack",Feature Flags & Release Management,CloudBees Feature Management
"Middleware, Integration & Developer Stack",Feature Flags & Release Management,Split.io
"Data, BI, Big Data & Analytics",Data Orchestration & Workflow,Dagster
"Data, BI, Big Data & Analytics",Data Orchestration & Workflow,Prefect
"Data, BI, Big Data & Analytics",Data Orchestration & Workflow,Apache Airflow (Astronomer)
"Data, BI, Big Data & Analytics",Data Orchestration & Workflow,dbt Cloud
"Data, BI, Big Data & Analytics",Customer Data Platforms (CDP),Salesforce Data Cloud
"Data, BI, Big Data & Analytics",Customer Data Platforms (CDP),Tealium AudienceStream
"Data, BI, Big Data & Analytics",Customer Data Platforms (CDP),BlueConic
"Data, BI, Big Data & Analytics",Customer Data Platforms (CDP),Zeotap CDP
"Data, BI, Big Data & Analytics",Customer Data Platforms (CDP),Segment CDP (extended)
"Data, BI, Big Data & Analytics",Digital Analytics & Tag Management,Google Analytics 4
"Data, BI, Big Data & Analytics",Digital Analytics & Tag Management,Adobe Analytics
"Data, BI, Big Data & Analytics",Digital Analytics & Tag Management,Piwik PRO
"Data, BI, Big Data & Analytics",Digital Analytics & Tag Management,Matomo
"Data, BI, Big Data & Analytics",Digital Analytics & Tag Management,Tealium iQ Tag Management
"Cybersecurity, Network & Infrastructure Management",AppSec & DevSecOps,Snyk
"Cybersecurity, Network & Infrastructure Management",AppSec & DevSecOps,Veracode (extended)
"Cybersecurity, Network & Infrastructure Management",AppSec & DevSecOps,Checkmarx
"Cybersecurity, Network & Infrastructure Management",AppSec & DevSecOps,SonarQube
"Cybersecurity, Network & Infrastructure Management",AppSec & DevSecOps,GitGuardian
"Cybersecurity, Network & Infrastructure Management",AppSec & DevSecOps,Aqua Security
"Cybersecurity, Network & Infrastructure Management",AppSec & DevSecOps,Sysdig Secure
"Cybersecurity, Network & Infrastructure Management",Email Security & Phishing Protection,Proofpoint
"Cybersecurity, Network & Infrastructure Management",Email Security & Phishing Protection,Mimecast
"Cybersecurity, Network & Infrastructure Management",Email Security & Phishing Protection,Barracuda Email Protection
"Cybersecurity, Network & Infrastructure Management",Email Security & Phishing Protection,IRONSCALES
"Cybersecurity, Network & Infrastructure Management",Endpoint & XDR (Additional),Microsoft Defender XDR
"Cybersecurity, Network & Infrastructure Management",Endpoint & XDR (Additional),CrowdStrike Falcon Insight XDR
"Cybersecurity, Network & Infrastructure Management",Endpoint & XDR (Additional),SentinelOne Singularity XDR
"Cybersecurity, Network & Infrastructure Management",Endpoint & XDR (Additional),Sophos Intercept X
Industry & Line-of-Business Applications,Vertical SaaS (Selected),Procore (Construction Management)
Industry & Line-of-Business Applications,Vertical SaaS (Selected),ServiceTitan (Home Services)
Industry & Line-of-Business Applications,Vertical SaaS (Selected),Toast POS (Restaurants)
Industry & Line-of-Business Applications,Vertical SaaS (Selected),Mindbody (Wellness & Fitness)
Industry & Line-of-Business Applications,Vertical SaaS (Selected),Shopmonkey (Auto Repair)
Industry & Line-of-Business Applications,Vertical SaaS (Selected),Clio (Legal Practice Management)
Industry & Line-of-Business Applications,Vertical SaaS (Selected),SimplePractice (Therapy & Counseling)
Industry & Line-of-Business Applications,Vertical SaaS (Selected),Athenahealth (extended)
